country,points,price,province,region_1,taster_name,title,variety,winery
Spain,90,30,Northern Spain,Campo de Borja,Michael Schachner,Pagos del Moncayo 2011 PdM Moncayo Garnacha (Campo de Borja),Garnacha,Pagos del Moncayo
US,92,25,Washington,Yakima Valley,Paul Gregutt,Maison Bleue 2011 Au Contraire French Creek Vineyard Chardonnay (Yakima Valley),Chardonnay,Maison Bleue
US,92,125,California,Central Coast,Matt Kettmann,Turiya 2011 Golden God Red (Central Coast),Red Blend,Turiya
France,92,32,Provence,Coteaux Varois en Provence,Roger Voss,Château d'Ollières 2016 Haut de l'Autin Rosé (Coteaux Varois en Provence),Rosé,Château d'Ollières
US,85,19,California,Paso Robles,NA,Frisby 2009 Reserve OC Collection Cabernet Sauvignon (Paso Robles),Cabernet Sauvignon,Frisby
Chile,87,NA,Casablanca Valley,NA,Michael Schachner,Concha y Toro 2011 Terrunyo Costa Los Boldos Vineyard Block 6 Riesling (Casablanca Valley),Riesling,Concha y Toro
Spain,88,14,Levante,Jumilla,Michael Schachner,Monterebro 2013 Barrica Red (Jumilla),Red Blend,Monterebro
US,91,35,California,Russian River Valley,NA,WesMar 2007 Pinot Noir (Russian River Valley),Pinot Noir,WesMar
US,88,39,Oregon,Chehalem Mountains,Paul Gregutt,Siduri 2008 Pinot Noir (Chehalem Mountains),Pinot Noir,Siduri
England,92,60,England,NA,Anne Krebiehl MW,Hush Heath Estate 2011 Balfour Brut Rosé Sparkling (England),Sparkling Blend,Hush Heath Estate
US,89,46,Washington,Red Mountain,Sean P. Sullivan,The Walls 2014 The Ramparts Red (Red Mountain),Rhône-style Red Blend,The Walls
US,86,25,California,Santa Maria Valley,NA,Cambria 2011 Julia's Vineyard Pinot Noir (Santa Maria Valley),Pinot Noir,Cambria
Spain,84,10,Northern Spain,Calatayud,Michael Schachner,Pontecilla 2009 Old Vines Tempranillo (Calatayud),Tempranillo,Pontecilla
Spain,85,10,Northern Spain,Rioja,Michael Schachner,El Circulo 2006  Rioja,Tempranillo,El Circulo
Australia,87,25,South Australia,Barossa,NA,Smallfry 2015 Shiraz (Barossa),Shiraz,Smallfry
Austria,92,45,Carnuntum,NA,Anne Krebiehl MW,Glatzer 2011 Bernreiser Blaufränkisch (Carnuntum),Blaufränkisch,Glatzer
US,88,26,California,Mendocino County,Jim Gordon,Edmeades 2013 Edmeades' Folly Red (Mendocino County),Red Blend,Edmeades
France,84,NA,Beaujolais,Beaujolais,Roger Voss,Ferraud et Fils 2014 Cuvée des Montagnards  (Beaujolais),Gamay,Ferraud et Fils
Italy,89,NA,Veneto,Amarone della Valpolicella Classico,Kerin O’Keefe,Buglioni 2008  Amarone della Valpolicella Classico,Red Blend,Buglioni
France,93,253,Rhône Valley,Hermitage,Roger Voss,M. Chapoutier 1999 De l'Orée Ermitage White (Hermitage),Rhône-style White Blend,M. Chapoutier
Spain,92,49,Andalucia,Jerez,Michael Schachner,González Byass NV Del Duque Amontillado Viejo 375 ml Sherry (Jerez),Sherry,González Byass
US,87,19,California,Paso Robles,Matt Kettmann,Peachy Canyon 2012 ChillHouse Cabernet Sauvignon (Paso Robles),Cabernet Sauvignon,Peachy Canyon
US,95,64,California,Anderson Valley,Jim Gordon,Arista 2013 Ferrington Vineyard Pinot Noir (Anderson Valley),Pinot Noir,Arista
Chile,89,21,Maule Valley,NA,Michael Schachner,Finca Patagonia 2013 Grand Reserve Cabernet Sauvignon (Maule Valley),Cabernet Sauvignon,Finca Patagonia
US,90,28,California,Livermore Valley,Jim Gordon,Rubino Estates Winery 2012 Riserva Sangiovese (Livermore Valley),Sangiovese,Rubino Estates Winery
US,91,27,California,Napa Valley,NA,Freemark Abbey 2008 Viognier (Napa Valley),Viognier,Freemark Abbey
Italy,92,79,Tuscany,Brunello di Montalcino,Kerin O’Keefe,Terralsole 2011  Brunello di Montalcino,Sangiovese,Terralsole
US,83,20,California,Sonoma County,Virginie Boone,Naggiar 2014 Della Casa Chardonnay (Sonoma County),Chardonnay,Naggiar
US,92,35,Washington,Red Mountain,Sean P. Sullivan,Corvus 2012 Syrah-Petite Sirah (Red Mountain),Syrah-Petite Sirah,Corvus
Chile,87,10,Limarí Valley,NA,Michael Schachner,Tamaya 2008 Cabernet Sauvignon (Limarí Valley),Cabernet Sauvignon,Tamaya
Argentina,87,15,Mendoza Province,San Rafael,Michael Schachner,Valentin Bianchi 2000 Chardonnay (San Rafael),Chardonnay,Valentin Bianchi
France,85,NA,Burgundy,Mâcon-Mancey,Roger Voss,Henri de Villamont 2008  Mâcon-Mancey,Chardonnay,Henri de Villamont
France,90,20,Provence,Coteaux d'Aix-en-Provence,Roger Voss,Château de Calavon 2014 Rosé (Coteaux d'Aix-en-Provence),Rosé,Château de Calavon
Italy,92,83,Tuscany,Toscana,NA,Argiano 2006 Suolo Sangiovese (Toscana),Sangiovese,Argiano
US,91,90,California,Oakville,Virginie Boone,Oakville East 2012 Exposure Cabernet Sauvignon (Oakville),Cabernet Sauvignon,Oakville East
Spain,87,25,Northern Spain,Rioja,Michael Schachner,Larchago 2008 Pagos de Tahola Reserva  (Rioja),Tempranillo,Larchago
France,89,48,Burgundy,Beaune,Roger Voss,Albert Bichot 2015 Clos de l'Ermitage  (Beaune),Pinot Noir,Albert Bichot
France,90,24,Rhône Valley,Tavel,Joe Czerwinski,Prieuré de Montézargues 2015  Tavel,Rosé,Prieuré de Montézargues
US,93,38,California,Russian River Valley,NA,Dutton Estate 2007 My Father's Vineyard Syrah (Russian River Valley),Syrah,Dutton Estate
US,91,24,California,Mendocino,Jim Gordon,Clif Family 2015 Rosé of Grenache (Mendocino),Grenache,Clif Family
US,85,28,Washington,Washington,Paul Gregutt,Pend d'Oreille 2006 Berghan Vineyard Cabernet Sauvignon (Washington),Cabernet Sauvignon,Pend d'Oreille
US,89,28,California,Paso Robles,Matt Kettmann,San Simeon 2012 Cabernet Sauvignon (Paso Robles),Cabernet Sauvignon,San Simeon
France,88,36,Champagne,Champagne,Roger Voss,Nicolas Feuillatte NV Brut  (Champagne),Champagne Blend,Nicolas Feuillatte
US,84,35,California,Santa Cruz Mountains,NA,Clos La Chance 2007 Biagini Vineyard Chardonnay (Santa Cruz Mountains),Chardonnay,Clos La Chance
US,93,55,California,Russian River Valley,NA,Patz & Hall 2005 Chenoweth Ranch Pinot Noir (Russian River Valley),Pinot Noir,Patz & Hall
South Africa,89,24,Franschhoek,NA,Susan Kostrzewa,Chamonix 2006 Reserve Pinot Noir (Franschhoek),Pinot Noir,Chamonix
Chile,82,8,Central Valley,NA,Michael Schachner,Valdivieso 2002 Rosé Cabernet Sauvignon (Central Valley),Cabernet Sauvignon,Valdivieso
Portugal,84,8,Lisboa,NA,Roger Voss,DFJ Vinhos 2014 Portada Winemaker's Selection Branco White (Lisboa),Portuguese White,DFJ Vinhos
Italy,90,55,Tuscany,Brunello di Montalcino,NA,Villa I Cipressi 2007  Brunello di Montalcino,Sangiovese Grosso,Villa I Cipressi
Italy,89,19,Southern Italy,Greco di Tufo,Kerin O’Keefe,Villa Matilde 2015  Greco di Tufo,Greco,Villa Matilde
France,93,65,Bordeaux,Saint-Estèphe,Roger Voss,Château Cos d'Estournel 2014 Les Pagodes de Cos  (Saint-Estèphe),Bordeaux-style Red Blend,Château Cos d'Estournel
Chile,85,11,Curicó Valley,NA,Michael Schachner,Terrapura 2014 Sauvignon Blanc (Curicó Valley),Sauvignon Blanc,Terrapura
France,93,75,Burgundy,Pouilly-Fuissé,Roger Voss,Château de Fuissé 2014 Les Combettes  (Pouilly-Fuissé),Chardonnay,Château de Fuissé
US,86,18,Oregon,Umpqua Valley,Paul Gregutt,Abacela 1999 Merlot (Umpqua Valley),Merlot,Abacela
Italy,93,28,Southern Italy,Campania,Kerin O’Keefe,Contrade di Taurasi - Lonardo 2012 Grecomusc' Roviello (Campania),Roviello,Contrade di Taurasi - Lonardo
Canada,90,34,Ontario,St. David's Bench,Paul Gregutt,Bachelder 2014 Lowrey Vineyard Old Vines Pinot Noir (St. David's Bench),Pinot Noir,Bachelder
Germany,89,29,Mosel,NA,Anna Lee C. Iijima,Markus Molitor 2010 Bernkasteler Badstube Spätlese Riesling (Mosel),Riesling,Markus Molitor
US,86,12,California,Lodi,Jim Gordon,Sand Point 2016 Sauvignon Blanc (Lodi),Sauvignon Blanc,Sand Point
US,84,18,California,Lodi,NA,Borra 2006 Fusion Red (Lodi),Red Blend,Borra
Spain,87,55,Northern Spain,Tierra de León,Michael Schachner,Pricum 2007 Prieto Picudo (Tierra de León),Prieto Picudo,Pricum
US,85,30,Washington,Columbia Valley (WA),Sean P. Sullivan,Gamache 2013 Estate Grown Syrah (Columbia Valley (WA)),Syrah,Gamache
US,87,60,California,Napa Valley,NA,Darms Lane 2010 Bon Passe Vineyard Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,Darms Lane
Germany,90,12,Mosel,NA,Anna Lee C. Iijima,St. Urbans-Hof 2015 Nik Weis Selection Urban Riesling (Mosel),Riesling,St. Urbans-Hof
Italy,88,NA,Tuscany,Morellino di Scansano,NA,Valdifalco 2006  Morellino di Scansano,Sangiovese,Valdifalco
France,92,18,Alsace,Alsace,Anne Krebiehl MW,Clément Klur 2015 Gentil de Katz White (Alsace),Alsace white blend,Clément Klur
France,85,15,Bordeaux,Bordeaux Supérieur,Roger Voss,Château Peuy Saincrit 2015  Bordeaux Supérieur,Bordeaux-style Red Blend,Château Peuy Saincrit
Argentina,86,10,Mendoza Province,Mendoza,Michael Schachner,Santa Julia 2007 Organica Malbec (Mendoza),Malbec,Santa Julia
Chile,84,10,Maipo Valley,NA,Michael Schachner,Undurraga 2013 U Estate Grown Sauvignon Blanc (Maipo Valley),Sauvignon Blanc,Undurraga
France,85,18,Burgundy,Mâcon-Loché,Roger Voss,Cave des Grands Crus Blancs 2016 Minéral  (Mâcon-Loché),Chardonnay,Cave des Grands Crus Blancs
France,90,84,Alsace,Alsace,NA,Domaine Zind-Humbrecht 2007 Hunawihr Clos Windsbuhl Pinot Gris (Alsace),Pinot Gris,Domaine Zind-Humbrecht
US,90,60,Washington,Columbia Valley (WA),Sean P. Sullivan,Matthews 2012 Reserve Red (Columbia Valley (WA)),Bordeaux-style Red Blend,Matthews
France,91,69,Burgundy,Meursault,Roger Voss,Louis Latour 2008 Charmes Premier Cru  (Meursault),Chardonnay,Louis Latour
Austria,89,78,Wachau,NA,Roger Voss,Nikolaihof 2004 Schlossberg Jungfernlese Halbtrocken Grüner Veltliner (Wachau),Grüner Veltliner,Nikolaihof
Spain,92,44,Catalonia,Priorat,Michael Schachner,Celler Pasanau 2008 Finca La Planeta Red (Priorat),Red Blend,Celler Pasanau
US,89,37,Washington,Horse Heaven Hills,Paul Gregutt,Robert Karl 2005 Gunselman Bench Vineyard Cabernet Sauvignon (Horse Heaven Hills),Cabernet Sauvignon,Robert Karl
Italy,88,19,Veneto,Conegliano Valdobbiadene Prosecco Superiore,NA,Andreola 2012 Millesimato Dry  (Conegliano Valdobbiadene Prosecco Superiore),Glera,Andreola
US,83,10,California,California,NA,Insatiable 2012 Pinot Noir (California),Pinot Noir,Insatiable
Italy,92,NA,Piedmont,Dolcetto di Dogliani,NA,Romana Carlo 2003 Brich dij Nòr  (Dolcetto di Dogliani),Dolcetto,Romana Carlo
Italy,90,15,Veneto,Valdobbiadene Prosecco Superiore,Kerin O’Keefe,Spagnol 2016 Col de Sas Brut  (Valdobbiadene Prosecco Superiore),Glera,Spagnol
US,81,30,California,Sonoma County,NA,Cellars 33 2010 Buck Hill Vineyard Zinfandel (Sonoma County),Zinfandel,Cellars 33
US,88,30,Washington,Columbia Valley (WA),Sean P. Sullivan,Eternal 2016 Eternal Perspective Grenache Blanc (Columbia Valley (WA)),Grenache Blanc,Eternal
US,87,14,California,Mendocino County,Jim Gordon,Shooting Star 2015 Chardonnay (Mendocino County),Chardonnay,Shooting Star
France,88,14,Provence,Côtes de Provence,Roger Voss,Château du Galoupet 2014 Le Galoupet Rosé (Côtes de Provence),Rosé,Château du Galoupet
France,88,25,Southwest France,Montravel,Roger Voss,Château Puy-Servain 2007 Marjolaine  (Montravel),Bordeaux-style White Blend,Château Puy-Servain
France,87,NA,Beaujolais,Moulin-à-Vent,Roger Voss,Georges Duboeuf 2014 Domaine de la Roche Noire  (Moulin-à-Vent),Gamay,Georges Duboeuf
US,87,30,California,Calaveras County,NA,Dalton 2007 Dalton Vineyard Marsanne-Roussanne White (Calaveras County),Rhône-style White Blend,Dalton
Italy,89,52,Tuscany,Brunello di Montalcino,NA,La Collina dei Lecci 2007 Riserva  (Brunello di Montalcino),Sangiovese Grosso,La Collina dei Lecci
US,86,35,California,Napa Valley,NA,Benessere 2009 Black Glass Vineyard Estate Zinfandel (Napa Valley),Zinfandel,Benessere
US,94,52,California,Fort Ross-Seaview,Virginie Boone,Fort Ross 2012 Fort Ross Vineyard Pinot Noir (Fort Ross-Seaview),Pinot Noir,Fort Ross
US,90,42,California,El Dorado,Jim Gordon,Donkey & Goat 2015 Eliza White (El Dorado),White Blend,Donkey & Goat
France,92,32,Alsace,Alsace,Anne Krebiehl MW,Josmeyer 2015 Kottabe Riesling (Alsace),Riesling,Josmeyer
US,92,100,California,Napa Valley,Virginie Boone,Krupp Brothers 2013 The Doctor Stagecoach Vineyard Red (Napa Valley),Red Blend,Krupp Brothers
US,88,24,Oregon,Rogue Valley,Paul Gregutt,South Stage 2014 Pinot Blanc (Rogue Valley),Pinot Blanc,South Stage
France,86,20,Alsace,Alsace,Anne Krebiehl MW,Cave de Ribeauvillé 2016 Collection Pinot Gris (Alsace),Pinot Gris,Cave de Ribeauvillé
France,89,77,Burgundy,Beaune,Roger Voss,Domaine Faiveley 2015 Clos de l'Ecu Premier Cru  (Beaune),Pinot Noir,Domaine Faiveley
France,88,NA,Burgundy,Saint-Aubin,Roger Voss,Olivier Leflaive 2012 En Remilly Premier Cru  (Saint-Aubin),Chardonnay,Olivier Leflaive
Italy,94,67,Northeastern Italy,Trento,Kerin O’Keefe,Maso Martis 2010 Dosaggiozero Riserva Sparkling (Trento),Sparkling Blend,Maso Martis
France,92,24,Alsace,Alsace,Anne Krebiehl MW,René Muré 2014 Signature Gewurztraminer (Alsace),Gewürztraminer,René Muré
Italy,86,16,Northeastern Italy,Alto Adige,Roger Voss,Elena Walch 2002 Castel Ringberg Pinot Grigio (Alto Adige),Pinot Grigio,Elena Walch
Austria,85,18,Niederösterreich,NA,Roger Voss,Salomon-Undhof 2007 Hochterrassen Grüner Veltliner (Niederösterreich),Grüner Veltliner,Salomon-Undhof
Peru,86,20,Ica,NA,Michael Schachner,Tacama 2008 Sinfonía Tannat-Malbec-Petit Verdot Red (Ica),Red Blend,Tacama
US,90,50,California,Alexander Valley,NA,Rodney Strong 2005 Reserve Cabernet Sauvignon (Alexander Valley),Cabernet Sauvignon,Rodney Strong
US,92,42,California,Paso Robles,Matt Kettmann,Cordant 2014 Wills hills Vineyard Grenache (Paso Robles),Grenache,Cordant
France,91,75,Burgundy,Chassagne-Montrachet,Roger Voss,Louis Latour 2011 Morgeot Premier Cru  (Chassagne-Montrachet),Chardonnay,Louis Latour
France,88,16,Loire Valley,Chinon,Roger Voss,Château Coudray Montpensier 2012 Le Grand Bouqueteau  (Chinon),Cabernet Franc,Château Coudray Montpensier
Spain,83,9,Northern Spain,Rioja,Michael Schachner,Bodegas Valdemar 2011 Rosado Garnacha (Rioja),Garnacha,Bodegas Valdemar
US,87,25,California,Paso Robles,Matt Kettmann,Sextant 2015 Cabernet Sauvignon (Paso Robles),Cabernet Sauvignon,Sextant
Italy,87,NA,Tuscany,Toscana,NA,Castello di Meleto 2007 Grazioso Red (Toscana),Red Blend,Castello di Meleto
Italy,96,97,Piedmont,Barolo,Kerin O’Keefe,Massolino 2013 Parussi  (Barolo),Nebbiolo,Massolino
US,86,15,California,Paso Robles,Matt Kettmann,Magnolia Court 2013 Cabernet Sauvignon (Paso Robles),Cabernet Sauvignon,Magnolia Court
US,90,18,California,Fair Play,Virginie Boone,Baiocchi Wines 2011 Neophyte Rosé (Fair Play),Rosé,Baiocchi Wines
US,90,100,California,Napa Valley,Virginie Boone,Charles Krug 2012 Limited Release X Clones Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,Charles Krug
US,87,19,New York,North Fork of Long Island,Anna Lee C. Iijima,Raphael 2016 Sauvignon Blanc (North Fork of Long Island),Sauvignon Blanc,Raphael
US,84,50,California,Napa Valley,NA,Neal Family 2008 Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,Neal Family
Germany,90,13,Mosel,NA,Anna Lee C. Iijima,Karl Kaspar 2010 Kabinett Riesling (Mosel),Riesling,Karl Kaspar
US,89,30,California,Paso Robles,Matt Kettmann,Sculpterra 2013 Grenache (Paso Robles),Grenache,Sculpterra
Portugal,86,8,Ribatejo,NA,Roger Voss,Adega Cooperativa do Cartaxo 2007 Bridão Classico Red (Ribatejo),Portuguese Red,Adega Cooperativa do Cartaxo
Spain,86,10,Catalonia,Cava,Michael Schachner,Segura Viudas NV Extra Dry Sparkling (Cava),Sparkling Blend,Segura Viudas
Germany,88,13,Rheinhessen,NA,Anna Lee C. Iijima,P.J. Valckenberg 2012 Pinot Blanc (Rheinhessen),Pinot Blanc,P.J. Valckenberg
US,90,26,California,Dry Creek Valley,NA,Quivira 2007 Wine Creek Ranch Grenache (Dry Creek Valley),Grenache,Quivira
Italy,87,15,Sicily & Sardinia,Sicilia,NA,Botter 2006 Terre del Sole Lunate Red (Sicilia),Red Blend,Botter
Austria,94,18,Kamptal,NA,Anne Krebiehl MW,Eichinger 2014 Vm Berg Riesling (Kamptal),Riesling,Eichinger
Germany,89,11,Mosel,NA,Anna Lee C. Iijima,Karl Josef 2014 Piesporter Michelsberg Kabinett Riesling (Mosel),Riesling,Karl Josef
Germany,90,26,Württemberg,NA,Anna Lee C. Iijima,Grafen Neipperg 2011 Trocken Spätburgunder (Württemberg),Spätburgunder,Grafen Neipperg
Italy,93,72,Piedmont,Barolo,Kerin O’Keefe,Paolo Scavino 2013 Carobric  (Barolo),Nebbiolo,Paolo Scavino
US,92,28,Oregon,Dundee Hills,Paul Gregutt,Alexana 2012 Revana Vineyard Riesling (Dundee Hills),Riesling,Alexana
France,94,NA,Bordeaux,Saint-Julien,Roger Voss,Château Langoa Barton 2010  Saint-Julien,Bordeaux-style Red Blend,Château Langoa Barton
France,87,26,Beaujolais,Moulin-à-Vent,Roger Voss,Loron et Fils 2005 Réserve Caveau Vieilles Vignes  (Moulin-à-Vent),Gamay,Loron et Fils
Austria,91,33,Carnuntum,NA,Anne Krebiehl MW,Netzl 2015 Bärnreiser Weissburgunder (Carnuntum),Weissburgunder,Netzl
France,92,35,Southwest France,Madiran,Roger Voss,Château Peyros 2010 Cuvée Greenwich Tannat-Cabernet Franc (Madiran),Tannat-Cabernet Franc,Château Peyros
Argentina,88,13,Mendoza Province,Luján de Cuyo,Michael Schachner,Nieto Senetiner 2013 Cabernet Sauvignon (Luján de Cuyo),Cabernet Sauvignon,Nieto Senetiner
Spain,86,13,Northern Spain,Rioja,Michael Schachner,Montebuena 2009  Rioja,Tempranillo,Montebuena
US,89,20,New York,Finger Lakes,Anna Lee C. Iijima,Damiani 2012 Sauvignon Blanc (Finger Lakes),Sauvignon Blanc,Damiani
US,88,29,California,Edna Valley,Matt Kettmann,Wolff 2014 Estate Teroldego (Edna Valley),Teroldego,Wolff
US,89,38,Washington,Walla Walla Valley (WA),Sean P. Sullivan,Cougar Crest 2010 Estate Grown Syrah (Walla Walla Valley (WA)),Syrah,Cougar Crest
France,88,20,Bordeaux,Haut-Médoc,Roger Voss,Château Haut Bages Libéral 2011 Haut-Médoc de Haut Bages Libéral  (Haut-Médoc),Bordeaux-style Red Blend,Château Haut Bages Libéral
Hungary,87,20,Tokaji,NA,Anna Lee C. Iijima,Château Hellha 2002 3 Puttonyos Aszú  (Tokaji),Tokaji,Château Hellha
France,94,50,Alsace,Alsace,Roger Voss,René Muré 2012 Clos Saint Landelin Vorbourg Grand Cru Riesling (Alsace),Riesling,René Muré
US,90,25,Washington,Wahluke Slope,Sean P. Sullivan,Luke 2013 Cabernet Sauvignon (Wahluke Slope),Cabernet Sauvignon,Luke
Italy,87,48,Tuscany,Brunello di Montalcino,Kerin O’Keefe,Verbena 2011  Brunello di Montalcino,Sangiovese,Verbena
Portugal,90,28,Port,NA,Roger Voss,Quinta de la Rosa 2011 Late Bottled Vintage  (Port),Port,Quinta de la Rosa
US,84,75,California,Napa County-Sonoma County,Virginie Boone,Evoke 2011 Cabernet Sauvignon (Napa County-Sonoma County),Cabernet Sauvignon,Evoke
Chile,87,11,Maule Valley,NA,Michael Schachner,Viña Marty 2013 Ilaia Carmenère (Maule Valley),Carmenère,Viña Marty
France,88,53,Bordeaux,Haut-Médoc,Roger Voss,Château Bellegrave du Poujeau 2006  Haut-Médoc,Bordeaux-style Red Blend,Château Bellegrave du Poujeau
France,86,NA,Bordeaux,Castillon Côtes de Bordeaux,Roger Voss,Château Bourron 2014 Belvedere de Château Bourron  (Castillon Côtes de Bordeaux),Bordeaux-style Red Blend,Château Bourron
US,87,16,Idaho,NA,Sean P. Sullivan,Sawtooth 2011 Sawtooth Vineyard Cabernet Sauvignon,Cabernet Sauvignon,Sawtooth
Germany,90,18,Mosel,NA,Joe Czerwinski,Ansgar Clüsserath 2010 Vom Schiefer Trocken Riesling (Mosel),Riesling,Ansgar Clüsserath
Uruguay,82,20,San Jose,NA,Michael Schachner,Castillo Viejo 2007 Parcela Vieja Cabernet Franc (San Jose),Cabernet Franc,Castillo Viejo
Italy,90,45,Tuscany,Pomino,Kerin O’Keefe,Marchesi de' Frescobaldi 2015 Bianco Benefizio Riserva Chardonnay (Pomino),Chardonnay,Marchesi de' Frescobaldi
US,93,37,California,Santa Barbara County,NA,Blair Fox 2009 Paradise Road Vineyard Syrah (Santa Barbara County),Syrah,Blair Fox
France,83,NA,Provence,Coteaux d'Aix-en-Provence,Roger Voss,Domaine de la Pomme de Pin 2016 Rosé (Coteaux d'Aix-en-Provence),Rosé,Domaine de la Pomme de Pin
Italy,87,19,Tuscany,Maremma Toscana,Kerin O’Keefe,Serpaia di Endrizzi 2014 Serpaiolo  (Maremma Toscana),Red Blend,Serpaia di Endrizzi
US,86,21,California,Sierra Foothills,Virginie Boone,Naggiar 2010 Estate Grown Sangiovese (Sierra Foothills),Sangiovese,Naggiar
Chile,85,18,Curicó Valley,NA,Michael Schachner,Aresti 2006 Reserva Merlot (Curicó Valley),Merlot,Aresti
US,85,20,Oregon,Willamette Valley,Paul Gregutt,Torii Mor 2011 Pinot Blanc,Pinot Blanc,Torii Mor
Italy,90,24,Northeastern Italy,Friuli Venezia Giulia,Joe Czerwinski,Livio Felluga 2001 Pinot Grigio (Friuli Venezia Giulia),Pinot Grigio,Livio Felluga
US,92,60,Washington,Columbia Valley (WA),Sean P. Sullivan,Feather 2012 Cabernet Sauvignon (Columbia Valley (WA)),Cabernet Sauvignon,Feather
US,90,36,Washington,Yakima Valley,Sean P. Sullivan,Ott & Murphy 2013 Boushey Vineyard Syrah (Yakima Valley),Syrah,Ott & Murphy
Chile,90,21,Maule Valley,NA,Michael Schachner,Finca Patagonia 2013 Grand Reserve Cabernet Sauvignon-Syrah (Maule Valley),Cabernet Sauvignon-Syrah,Finca Patagonia
Germany,93,58,Mosel,NA,Anna Lee C. Iijima,Joh. Jos. Prüm 2014 Wehlener Sonnenuhr Auslese Riesling (Mosel),Riesling,Joh. Jos. Prüm
US,90,42,California,Mendocino Ridge,Jim Gordon,Donkey & Goat 2013 Perli Vineyards Syrah (Mendocino Ridge),Syrah,Donkey & Goat
US,90,42,California,Sonoma Coast,Virginie Boone,Merry Edwards 2013 Pinot Noir (Sonoma Coast),Pinot Noir,Merry Edwards
Italy,91,58,Tuscany,Bolgheri,Kerin O’Keefe,Donna Olimpia 1898 2011 Millepassi  (Bolgheri),Red Blend,Donna Olimpia 1898
Italy,86,20,Northeastern Italy,Alto Adige,NA,Erste Neue 2009 Puntay Gewürztraminer (Alto Adige),Gewürztraminer,Erste Neue
Australia,84,9,Australia Other,South Eastern Australia,Joe Czerwinski,Half Mile Creek 2014 Chardonnay (South Eastern Australia),Chardonnay,Half Mile Creek
France,89,NA,Burgundy,Volnay,Roger Voss,Maison Champy 2008  Volnay,Pinot Noir,Maison Champy
Argentina,91,69,Mendoza Province,Agrelo,Michael Schachner,Finca Decero 2013 Amano Red (Agrelo),Red Blend,Finca Decero
US,90,45,California,Dry Creek Valley,Virginie Boone,Quivira 2014 Black Boar Zinfandel (Dry Creek Valley),Zinfandel,Quivira
